discipline;points;sit
PDH_EN;47,00;summer_2021
PDH_EN;52,00;summer_2021
PDH_EN;56,00;summer_2021
PDH_EN;58,00;summer_2021
PDH_EN;61,00;summer_2021
PDH_EN;61,00;summer_2021
PDH_EN;61,00;summer_2021
PDH_EN;62,00;summer_2021
PDH_EN;63,00;summer_2021
PDH_EN;65,00;summer_2021
PDH_EN;66,00;summer_2021
PDH_EN;67,00;summer_2021
PDH_EN;67,00;summer_2021
PDH_EN;67,00;summer_2021
PDH_EN;67,00;summer_2021
PDH_EN;67,00;summer_2021
PDH_EN;68,00;summer_2021
PDH_EN;68,00;summer_2021
PDH_EN;68,00;summer_2021
PDH_EN;69,00;summer_2021
PDH_EN;69,00;summer_2021
PDH_EN;69,00;summer_2021
PDH_EN;69,00;summer_2021
PDH_EN;70,00;summer_2021
PDH_EN;70,00;summer_2021
PDH_EN;70,00;summer_2021
PDH_EN;71,00;summer_2021
PDH_EN;71,00;summer_2021
PDH_EN;71,00;summer_2021
PDH_EN;71,00;summer_2021
PDH_EN;71,00;summer_2021
PDH_EN;71,00;summer_2021
PDH_EN;72,00;summer_2021
PDH_EN;72,00;summer_2021
PDH_EN;72,00;summer_2021
PDH_EN;73,00;summer_2021
PDH_EN;73,00;summer_2021
PDH_EN;73,00;summer_2021
PDH_EN;73,00;summer_2021
PDH_EN;74,00;summer_2021
PDH_EN;74,00;summer_2021
PDH_EN;74,00;summer_2021
PDH_EN;74,00;summer_2021
PDH_EN;74,00;summer_2021
PDH_EN;74,00;summer_2021
PDH_EN;74,00;summer_2021
PDH_EN;74,00;summer_2021
PDH_EN;75,00;summer_2021
PDH_EN;75,00;summer_2021
PDH_EN;75,00;summer_2021
PDH_EN;75,00;summer_2021
PDH_EN;75,00;summer_2021
PDH_EN;75,00;summer_2021
PDH_EN;75,00;summer_2021
PDH_EN;75,00;summer_2021
PDH_EN;76,00;summer_2021
PDH_EN;76,00;summer_2021
PDH_EN;76,00;summer_2021
PDH_EN;76,00;summer_2021
PDH_EN;76,00;summer_2021
PDH_EN;76,00;summer_2021
PDH_EN;77,00;summer_2021
PDH_EN;77,00;summer_2021
PDH_EN;77,00;summer_2021
PDH_EN;77,00;summer_2021
PDH_EN;77,00;summer_2021
PDH_EN;77,00;summer_2021
PDH_EN;77,00;summer_2021
PDH_EN;78,00;summer_2021
PDH_EN;78,00;summer_2021
PDH_EN;78,00;summer_2021
PDH_EN;78,00;summer_2021
PDH_EN;78,00;summer_2021
PDH_EN;79,00;summer_2021
PDH_EN;79,00;summer_2021
PDH_EN;79,00;summer_2021
PDH_EN;79,00;summer_2021
PDH_EN;79,00;summer_2021
PDH_EN;80,00;summer_2021
PDH_EN;80,00;summer_2021
PDH_EN;81,00;summer_2021
PDH_EN;81,00;summer_2021
PDH_EN;81,00;summer_2021
PDH_EN;81,00;summer_2021
PDH_EN;81,00;summer_2021
PDH_EN;81,00;summer_2021
PDH_EN;81,00;summer_2021
PDH_EN;81,00;summer_2021
PDH_EN;82,00;summer_2021
PDH_EN;82,00;summer_2021
PDH_EN;82,00;summer_2021
PDH_EN;83,00;summer_2021
PDH_EN;83,00;summer_2021
PDH_EN;83,00;summer_2021
PDH_EN;83,00;summer_2021
PDH_EN;84,00;summer_2021
PDH_EN;84,00;summer_2021
PDH_EN;85,00;summer_2021
SMME_DM_EN;66,00;winter_2021
SMME_DM_EN;63,00;winter_2021
SMME_DM_EN;62,00;winter_2021
SMME_DM_EN;79,00;winter_2021
SMME_DM_EN;69,00;winter_2021
SMME_DM_EN;61,00;winter_2021
SMME_DM_EN;69,00;winter_2021
SMME_DM_EN;64,00;winter_2021
SMME_DM_EN;73,00;winter_2021
SMME_DM_EN;39,00;winter_2021
SMME_DM_EN;42,00;winter_2021
SMME_DM_EN;71,00;winter_2021
SMME_DM_EN;50,00;winter_2021
SMME_DM_EN;62,00;winter_2021
SMME_DM_EN;74,00;winter_2021
SMME_DM_EN;66,00;winter_2021
SMME_DM_EN;61,00;winter_2021
SMME_DM_EN;48,00;winter_2021
SMME_DM_EN;65,00;winter_2021
SMME_DM_EN;64,00;winter_2021
SMME_DM_EN;47,00;winter_2021
SMME_DM_EN;81,00;winter_2021
SMME_DM_EN;73,00;winter_2021
SMME_DM_EN;35,00;winter_2021
SMME_DM_EN;69,00;winter_2021
SMME_DM_EN;62,00;winter_2021
SMME_DM_EN;72,00;winter_2021
SMME_DM_EN;65,00;winter_2021
SMME_DM_EN;62,00;winter_2021
SMME_DM_EN;62,00;winter_2021
SMME_DM_EN;73,00;winter_2021
SMME_DM_EN;61,00;winter_2021
SMME_DM_EN;77,00;winter_2021
SMME_DM_EN;41,00;winter_2021
SMME_DM_EN;61,00;winter_2021
SMME_DM_EN;69,00;winter_2021
SMME_DM_EN;29,00;winter_2021
